1188|345|1380|firefox|1
462|217|1380|firefox|1
173|250|1380|firefox|1
365|660|1380|firefox|1
125|373|1659|msie|0
137|408|1676|msie|0
78|1226|1659|msie|0
368|784|1659|msie|0
475|757|1659|msie|0
102|377|1659|msie|0
108|403|1676|msie|0
358|780|1659|msie|0
432|754|1659|msie|0
436|779|1659|msie|0
397|807|1659|msie|0
457|769|1659|msie|0
394|797|1659|msie|0
69|151|1659|msie|0
112|415|1659|msie|0
516|202|1659|msie|0
517|338|1659|msie|0
806|450|1659|msie|0
807|502|1659|msie|0
806|467|1659|msie|0
438|545|1659|msie|0
145|256|1659|msie|0
179|275|1659|msie|0
103|240|1676|msie|0
935|296|1659|msie|0
94|324|1380|firefox|1
192|262|1380|firefox|1
1087|78|1380|firefox|1
118|413|1659|msie|0
352|778|1659|msie|0
261|759|1659|msie|0
114|373|1659|msie|0
93|127|1380|firefox|1
107|348|1380|firefox|1
118|75|1380|firefox|1
88|138|1380|firefox|1
938|862|1380|firefox|1
955|653|1380|firefox|1
539|1395|1380|firefox|1
1000|708|1380|firefox|1
1010|451|1396|firefox|3
126|50|1396|firefox|1
83|133|1396|firefox|1
230|500|1332|firefox|1
94|302|1332|firefox|1
101|258|1332|firefox|1
164|278|1332|firefox|1
113|788|1275|safari|1
129|1328|1275|safari|1
123|284|1275|safari|1
131|338|1290|safari|1
113|193|1275|safari|1
115|219|1290|safari|1
122|382|1275|safari|1
390|96|1290|safari|1
208|70|1290|safari|1
122|382|1396|firefox|1
174|64|1411|firefox|1
165|72|1411|firefox|1
410|92|1411|firefox|1
