683|177|980|safari|1
115|377|1263|safari|1
844|475|1361|safari|1
147|194|1361|safari|1
143|236|1361|safari|1
159|284|1361|safari|1
328|261|1376|safari|3
114|320|1376|safari|1
124|405|1361|safari|1
471|197|1361|safari|1
470|197|1361|safari|1
525|310|1361|safari|1
692|353|1361|safari|1
649|410|1361|safari|1
581|426|1361|safari|1
581|426|1361|safari|1
580|425|1361|safari|1
580|425|1361|safari|1
580|425|1361|safari|1
630|462|1361|safari|1
804|479|1361|safari|1
623|481|1361|safari|1
412|385|1361|safari|1
714|407|1361|safari|1
494|485|1361|safari|1
630|431|1361|safari|1
638|420|1361|safari|1
597|481|1361|safari|1
673|473|1361|safari|1
673|473|1361|safari|1
433|552|1361|safari|1
382|593|1361|safari|1
354|754|1361|safari|1
114|413|1137|safari|1
393|795|1137|safari|1
585|769|1137|safari|1
69|260|1137|safari|1
100|1259|1137|safari|1
83|379|1152|safari|1
96|429|1152|safari|1
98|410|1152|safari|1
