129|378|1665|firefox|1
474|303|1421|safari|1
391|779|1421|safari|1
556|278|1421|safari|3
854|895|1421|safari|3
313|442|1421|safari|1
1241|376|1421|safari|1
391|869|1421|safari|3
112|624|1421|safari|1
564|276|1421|safari|3
1173|388|1421|safari|1
853|860|1421|safari|3
366|610|1421|safari|1
310|566|1421|safari|1
310|566|1421|safari|1
311|473|1421|safari|1
1183|690|1421|safari|1
159|614|1421|safari|1
423|833|1421|safari|3
901|1609|1421|safari|3
818|2365|1421|safari|3
1142|1583|1421|safari|1
139|323|1421|safari|1
570|318|1421|safari|3
1126|711|1421|safari|1
820|1375|1421|safari|1
834|1636|1421|safari|3
314|679|1421|safari|1
986|718|1421|safari|1
172|850|1421|safari|1
152|346|1436|safari|1
