650|249|1592|firefox|1
125|338|1592|firefox|1
113|260|1592|firefox|1
659|76|1085|firefox|1
151|374|1592|firefox|1
107|241|1085|firefox|1
188|303|1607|firefox|1
107|257|1085|firefox|1
91|216|1592|firefox|1
109|282|1085|firefox|1
112|304|1085|firefox|1
113|326|1085|firefox|1
113|345|1085|firefox|1
417|359|1085|firefox|1
555|893|1085|firefox|1
555|1843|1085|firefox|1
873|1543|1085|firefox|3
140|197|1085|firefox|1
101|369|1085|firefox|1
114|405|1100|firefox|1
110|382|1085|firefox|1
440|95|1100|firefox|1
69|390|1592|firefox|1
659|484|1100|firefox|1
1233|258|1607|firefox|1
